unit_id,modon_status,sakneen_status,issue
WY-BP-16-B409,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-B408,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-B309,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-B209,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-B207,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-B108,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-B107,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-B101,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-A502,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-A402,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-A302,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-A202,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-16-A105,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-15-C313,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-15-C106,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-07-B504,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-07-B404,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-07-B403,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-07-B304,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-07-B204,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-07-B104,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-07-B103,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
